DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
27-02-2022,"AML Monitoring Analyst - Crypto",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
01-03-2022,"Business Development Director","Public Storage",publicstorage.com,"Real Estate",,,,Atlanta,GA,""
01-03-2022,"Director, Small Business Solutions Specialist",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
01-03-2022,"Head of Sales Productivity & Operational Excellence, Worldwi...","Amazon Web Services, Inc.",,,"$175,300 - $237,100 a year",,,Atlanta,GA,""
27-02-2022,"Director Commercialization and Program Management","The Coca-Cola Company",coca-colacompany.com,"Food & Beverages",,,"Downtown area",Atlanta,GA,"30313"
01-03-2022,"Director, In-Restaurant Guest Facing Technology","Inspire Brands",,,,,,Atlanta,GA,"30328"
01-03-2022,"Director, Talent Acquisition Business Planning",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
01-03-2022,"Executive Director- Infectious Disease Program-Full Time, Da...","Grady Health System",gradyhealth.org,"Hospital & Health Care",,,"Old Fourth Ward area",Atlanta,GA,"30308"
27-02-2022,"Director, NA External (client facing) Learning Consultant",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
27-02-2022,"Manager of Talent Acquisitions ? Operations (REMOTE)","Burlington Stores",burlingtonstores.jobs,,,Remote,,"Remote in Atlanta",GA,""
01-03-2022,"Customer Success Director",GreyOrange,greyorange.com,"Information Technology & Services",,Remote,,"Remote in Atlanta",GA,""
27-02-2022,"Director, Design Research, Visa Business Solutions",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
27-02-2022,"Manager, Finance","Cox Communications Inc",coxenterprises.com,Telecommunications,,,,Atlanta,GA,"30328"
27-02-2022,"Director, Program Manager",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
27-02-2022,"Lead Solutions Architect",AT&T,att.com,Telecommunications,,,,Atlanta,GA,""
01-03-2022,"Portfolio Execution Leader - Commercial Real Estate Portfoli...","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Atlanta,GA,""
01-03-2022,"Director of Marketing (Healthcare/CPG)","Charlotte Radiology - US Radiology Specialists",charlotteradiology.com,"Hospital & Health Care","$110K ? $140K a year",,,Atlanta,GA,""
